Date,Tweet,Likes
2025-03-15,Reactive Agents –Act,1265
2025-03-15,"Event-driven architecture is a design pattern that helps systems handle real-time interactions &amp; async workflows.

And this course teaches you how it works by building a SaaS application.

You'll use Next.js and Clerk and learn about authentication flows, RBAC, Webhooks, &amp; more.",528
2025-03-15,"AI is going to be extremely useful in countering fake news.

The day AI starts fact-checking every post in real time, it could be a big game changer.

It's not going to be easy to spread fake news and propaganda on Social Media.

Be scared sanghis, Be very scared.",2542
2025-03-15,"If you're not using AI, you're falling behind.

Here are 10 cutting-edge AI tools to save you hours of boring work:",292
2025-03-15,…,637
2025-03-15,,269
2025-03-15,,180
2025-03-15,,205
2025-03-15,,180
2025-03-15,,205
2025-03-15,,397
2025-03-15,,250
2025-03-15,,427
2025-03-15,"I went to a dinner with 30 top AI founders last week. 

My 2 biggest takeaways:

1. What used to take a year and 10 engineers to build now takes 3 months and 5 engineers
2. AI web builder tools allow CEOs be the only PM at a company way longer.",933
2025-03-15,"I remember when AI music was the big thing last year. And all the big music companies were worried that they would soon go bankrupt.

Surprisingly, nothing has changed so far. And even though AI musik is now so outstanding, it hasn't led to any upheaval in the music industry.",278
2025-03-15,"“it’s called ‘vibe coding.’ by the way, have you tried MCP?”

you jolt awake. you’ve fallen asleep over your laptop at the OpenAI Language Model Hackathon, February 12–13, 2020. the startup ecosystem doesn’t even know about GPT-3. it was all a dream",590
2025-03-15,"If you’re not using AI in 2025, you’re working too hard!

These 6 insane AI tools can finish a full day’s work in just 10 seconds.

Work smarter, not harder. Let’s dive in!",228
2025-03-15,"“it’s called ‘vibe coding.’ by the way, have you tried MCP?”

you jolt awake. you’ve fallen asleep over your laptop at the OpenAI Language Model Hackathon, February 12–13, 2020. the startup ecosystem doesn’t even know about GPT-3. it was all a dream",590
2025-03-15,"If you’re not using AI in 2025, you’re working too hard!

These 6 insane AI tools can finish a full day’s work in just 10 seconds.

Work smarter, not harder. Let’s dive in!",228
2025-03-15,He argues that intelligence requires,241
2025-03-15,"In fact it’s better to stick to a small number of LLMs that you know how to prompt 

GPT-4o - Still the best and most reliable all purpose model

Sonnet -  Has been the coding king forever",273
2025-03-15,"This is WILD.

Google just dropped Gemini 2.0 Flash, and it can now generate images natively.

Here’s what that means for the future of AI:",337
2025-03-15,"TERAHERTZ LIGHT UNLOCKS INSANELY FAST DATA STORAGE

Hard drives hold millions of megabytes, but reading data is still slow - until now.

Scientists at HZDR and TU Dortmund have cracked the code, using ultrafast terahertz light pulses to read magnetic data in mere picoseconds.",598
2025-03-15,,590
2025-03-15,"Skeptics beware: Almost a year later, I see this assertion even more compelling! The rate of innovation keeps accelerating. We will see more innovation in the next two years than teh last two since the ChatGPT moment!",255
2025-03-15,"Skeptics beware: Almost a year later, I see this assertion even more compelling! The rate of innovation keeps accelerating. We will see more innovation in the next two years than teh last two since the ChatGPT moment!",255
2025-03-15,,164
2025-03-15,"So here is my thought of the day.

When I was finishing college, internet browsers and search engines were all the rage.

“I like Netscape better because it loads faster and is easier for XYZ”

“Opera is easier to use for ABC”

“IE is glitchy”

“Amaya is getting worse for XYZ”",1320
2025-03-15,"In a comment, Kevin Rose repeatedly pointed out that AGI will officially come this year.

Everyone who is anyone in the AI scene (Sam Altman, Dario Amodei, Demis Hassabis) unanimously says that AGI or superintelligence will come in a few years. Superintelligence, not AGI,",445
2025-03-15,…,509
2025-03-15,"This man predicts the future:

Masayoshi Son.

Early investor in TikTok, Alibaba, &amp; Uber.

And he just said, ""Artificial intelligence will be 10,000 times smarter than humans in 10 years.""

6 predictions on the future of wealth creation (and why you should care):",1417
2025-03-15,,305
2025-03-15,,305
2025-03-15,")
- Dalle 3
- Stability AI
- Midjourney
- Microsoft Designer

2. Research

- ChatGPT
- Copilot
- Gemini
- Abacus
- Perplexity 

3.",205
2025-03-15,"Wouldn’t it be crazy if we found out this erosion of intelligence in the West was by design. 

An op planned by our adversaries to slowly dilute our education system without us realizing it until it was too late. Then some AI shows up, owned by others to “save the day”. A plan",4518
2025-03-15,A critical cache deception vulnerability in ChatGPT led to account takeovers by exposing authentication tokens. It exploited discrepancies in URL encoding between Cloudflare and ChatGPT’s web server.,223
2025-03-15,,586
2025-03-15,"Andhra Pradesh — Microsoft will train two lakh youth in Artificial Intelligence and advanced skills.

TamilNadu -- Busy with Linguistic Politics over Hindi.

Priorities Apni Apni!

Don't blame Politicians. YOU get what ""YOU"" vote for.",4266
2025-03-15,"The strongest safeguard for Indian data so far wasn’t privacy laws or encryption. It was the fact that most systems couldn’t effectively interpret Hinglish, making large-scale data extraction &amp; analysis costly.

With Grok learning to talk like a Dilliwala, this has now changed.",588
2025-03-15,"Ivy League builders are among the first to utilize the Flare AI kit at the Flare Verifiable AI Hackathon, creating viable products.

That's the tweet",277
2025-03-15,"Hackers are poisoning PyPI again. Devs, check your dependencies NOW!

Cybercriminals planted 20 fake Python packages on PyPI—stealing cloud access tokens from AWS, Alibaba Cloud, and Tencent Cloud. These packages, disguised as ""time"" utilities, racked up 14,100+ downloads",226
